,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_ident,AcidoCitrico_raiz4,Azucar_ident,CloruroSodico_ident,Densidad_cuarta,pH_ident,Sulfatos_ident,Alcohol_raiz4,CalifProductor_ident,PrecioBotella_raiz4,aleatorio_log,aleatorio2_log,Compra
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,15.9,2,1.0,M,***,1.0,6.666666666666667,0.32086123614845186,0.5439133575046965,2.870957739031019,1.1474410747576158,3.6839168182022743,1.5732502459719742,377.64491972877516,3.3428224854648962,3.26248774571559,1.4600769156657076,1.5264202419989747,0.1,0.1026156166371531,0.6340581998751015,1
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,3.0,0.0,0.6890168956662602,0.9781433505122348,6.092553753871257,1.1334338892090663,3.3479432100853597,3.032678787415853,96.37660815241736,2.9513324646446835,3.0248303602661095,1.5835488359976069,2.2895803629984623,1.12673928630256,0.8671165743279317,1.2209074233402686,1
2,0.29,-0.4,21.5,0.06,0.99572,3.49,1.21,10.3,3,3.72,R,Desc,1.0,0.0,0.2098281851984628,0.8740732754498279,3.039831723679902,1.2206782506666838,3.5471488007387517,3.1053343208643582,98.9903068014855,3.508452878888833,3.8134207756212026,1.3098967320155885,2.2895803629984623,1.1649856662484306,-0.32234570915584004,1.1084179424491836,0
3,-1.22,0.34,1.4,0.04,1.03236,3.2,0.34,11.6,2,6.23,B,***,2.0,6.666666666666667,0.1519702600450613,0.45437638762264554,1.0782954404505636,1.3267819217758923,2.9495320287785765,3.042155596126528,440.4760582989753,3.0717909325893644,2.8735938422528045,1.3494035130861772,1.5264202419989747,1.3718320632330931,-0.6452157830942221,0.4542017035970683,1
4,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,2.0,0.0,0.511164896683569,0.3064423060092297,3.013851110656997,1.4090395719701727,3.2423939792167715,2.8936855929926266,101.35790261294844,5.676705301893088,2.7871729748166296,1.4389622863411078,0.7632601209994871,0.9937433108122641,0.5684690578316274,0.060327492772057824,1
5,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,2.0,0.0,0.3354618307926911,0.887780544275077,2.377326091595821,1.333090893820581,2.961424899862361,2.040772809031918,2.570496865072254,2.9061605391654277,3.3165007878631987,1.3775891562720781,2.2895803629984623,1.2235854490368128,0.14713492508344714,1.123977939819549,1
6,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,1.0,0.0,0.3654808093728006,0.38700413544525913,2.9488995780997342,1.3454467024700754,3.2171216281637296,2.44195771111714,1001.643238684576,2.7857020712207468,2.0742008184681895,1.3067058384602515,3.8159006049974367,1.2623638632810228,0.23287638065887253,0.29371918191345664,1
7,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,1.0,0.0,0.5312024917484837,0.45830390312639235,3.0917929497257126,1.0948126703403607,2.9971035131137147,4.552127117360671,16.438434214055498,3.598796729847343,1.5772808307101855,1.027542883902381,1.5264202419989747,0.6350268061614917,0.6069309224910746,0.4628079155150679,1
8,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,3.0,0.0,0.8400724468281031,0.074600485419971,3.07880264321426,1.3267819217758923,2.9465588110076304,3.048473468600311,6.1907351808288835,2.6652436032760662,4.839668576425775,1.360888491803993,2.2895803629984623,1.2354259881779883,1.0653771342463978,-1.352343219893235,1
9,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,1.0,0.0,0.47104771867171347,0.8656562243925902,3.325618466931859,1.4853681571116057,2.9941302953427686,2.3945736675637677,107.46268953245634,6.173596482164897,4.915286835432428,1.363714776888473,3.0527404839979497,1.0121985939922453,0.48671182565849325,1.0987418236770659,1
