,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_exp,CloruroSodico_cuarta,Densidad_sqr,pH_cuarta,Sulfatos_exp,Alcohol_sqr,CalifProductor_raiz4,PrecioBotella_exp,aleatorio_exp,aleatorio2_sqr,Beneficio
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,15.9,2,1.0,M,***,1.0,6.666666666666667,0.9998857794642695,0.5286810897351142,8.309692455502395,5.573396220385179,39.78917133704623,6.273253971214684,19.859349239080014,124.6649927691636,25.91199323773555,20.1053206717568,1.1681435511224132,1.0001000050001667,31.840378974081347,3.353549169131858,515
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,3.0,0.0,0.49361917086364515,0.43128065529436455,37.42227238131819,5.132738376365246,28.435846763746113,86.61789101097754,10.032494313434023,75.7467145165601,20.442486841079376,38.49078302971296,1.2927575619426874,5.0367955099464945,5.519199807667856,2.2307992687925307,585
2,-1.22,0.34,1.4,0.04,1.03236,3.2,0.34,11.6,2,6.23,B,***,2.0,6.666666666666667,0.8601940145456092,0.3345944674507162,1.1722134088067866,21.566660754236345,19.092091752560616,87.70566467284404,21.447879041942397,88.891017065508,17.57960902383259,10.701383177564274,1.1681435511224132,34.907388495496846,19.63228731259056,1.3418408176218637,775
3,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,2.0,0.0,0.6292377259797695,0.3805351626716884,9.157458189220398,49.72799231354871,25.58766897896132,71.79716617197552,10.288496511577648,1036.75620771445,16.12748445917021,17.893711711054845,0.982300912828181,2.6598063480701613,8.82591892973965,1.7362101058622967,596
4,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,2.0,0.0,0.9040986120148761,0.5860111077319332,5.697821499386788,22.873544668585676,19.320487017572443,17.761532021664493,1.638442487982318,71.21470279302845,27.34654306960949,12.625916688555327,1.2927575619426874,9.473458880985401,22.854694264304324,4.121025542779134,1083
5,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,1.0,0.0,0.058817796244970744,0.10439200082362754,8.76700635337258,25.729692801047534,24.949166455788845,36.41282920814691,32.34296030611823,60.121516917474445,7.91890891559833,8.274236389991325,1.4688509189044232,12.773519862723985,1.225214536602077,0.12979801050072895,596
6,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,1.0,0.0,0.3978048431798923,0.018660834518156144,9.63722869738497,4.15304938293947,20.022197454591844,439.70316206146504,4.143364693223539,167.46363899793437,4.823591410206463,1.2097776912353042,1.1681435511224132,1.1771844795841784,3.9612520128194793,0.003975057740711379,499
7,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,3.0,0.0,0.24397972774621168,0.3654841342989117,9.556416316846391,21.566660754236345,19.03541605714163,88.43651730570416,2.5426929661159856,50.377765581804134,124.97636974099238,11.452110858545371,1.2927575619426874,10.3480655058142,2.325828029843111,1.6014190954055523,911
8,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,1.0,0.0,0.4255040121116156,0.24965382562244398,11.150034582842142,124.50584353393879,19.96276070039736,33.66779471024019,10.593804746388132,1450.2544488923782,134.76904868378875,11.643768971168837,1.3891552966007206,2.8661605991929866,4.359878212609805,0.7463100763845069,773
9,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,1.0,0.0,0.9090623224313245,0.7552580210588017,13.434039141430127,21.31438440173779,8.454372381524983,28.646154966827037,8.435656276669203,68.30846486307259,22.283135789145156,10.335562198781389,0.982300912828181,18.061878694061882,23.25078770827783,6.847662360286886,346
10,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,3.0,0.0,0.2460306425053147,0.7921985532114726,8.922166332698326,19.172633809843806,10.660810660933128,30.74767870506279,13.822059078672632,87.16088593985225,4.103606185214591,7.638023049502171,1.1681435511224132,4.052778374063901,2.342398967676999,7.534340590397039,364
11,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,2.0,0.0,0.8088682500710028,0.6475037156150514,9.799874213475514,31.799232196596794,20.74939366414762,253.78608773454593,7.320281934294452,87.16088593985225,76.12601053839614,3.0572463900191535,1.2927575619426874,2.808344516511758,16.436512867679554,5.0320519738289615,552
12,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,1.05,R,**,2.0,0.0,0.7701978042929237,0.07214702786710214,8.38506080930294,21.566660754236345,29.120262047850474,89.17192810552017,10.62458108857124,66.88916555392227,465.4009325731791,6.585883066270305,1.1681435511224132,1.0346504672712493,14.37718944647649,0.06174367975470351,776
13,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,2.0,0.0,0.3574554443033523,0.43833758880806784,1e-08,19.861503278456823,27.114895690467147,86.25755845215248,9.760028092405811,1.9995629769480097,12.451993700250657,13.440263447587505,1.1681435511224132,2.11129277988763,3.444868985040832,2.304482410248435,814
14,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,3.0,0.0,0.06968274539171915,0.9716012608494712,17.640167128549358,13.003134370846709,19.14893619314606,83.06492812881135,8.782184255778494,107.64395729378717,17.391173569286753,12.426306191175476,1.2927575619426874,1.4630056109391405,1.2721727693573575,11.33573297065204,885
