,month,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,yr_built,lat,long,bedrooms_cont,log_sqft_lot,prop_missings,year,floors,waterfront,view,condition,basement,yr_renovated,bedrooms_cat,aleatorio,aleatorio2,month_raiz4,bedrooms_raiz4,bathrooms_ident,sqft_living_ident,sqft_lot_log,sqft_above_ident,yr_built_ident,lat_sqr,long_log,bedrooms_cont_raiz4,log_sqft_lot_ident,aleatorio_cuarta,aleatorio2_exp,Luxury
0,7.0,3.0,2.5,2070.0,13386.949853855913,1540.0,1980.0,47.5936,-122.013,3.0,9.18207708583128,10.526315789473683,2014,1.0,0,0,CD,1,0,3,0.4599758967203107,0.20122238874998033,1.1776128516592166,1.0871706721689194,2.88188023997296,1.8887321592516488,-1.0761578758348078,1.4380382947414156,2.736123057524532,10.030913056811457,1.2539753765701862,1.0890094733027216,3.2368233442003627,6.273315515935915,2.0067121088381064,1
1,6.0,2.0,1.5,1640.0,12756.992142603202,1540.0,1916.0,47.6624,-122.325,2.0,9.04287136402985,10.526315789473683,2014,1.5,0,0,A,1,0,2,0.9413760028985321,0.2427491177157557,1.125144636391203,0.9823783876237229,1.7291681439837758,1.4110193189703495,-1.12681771107689,1.4380382947414156,0.5473046115049063,13.432057649537901,0.24850297354761453,0.9840398875625141,3.071399842875777,110.13023199549721,2.3171102512749404,1
2,10.0,4.0,3.5,3720.0,29172.70247392155,3720.0,2007.0,47.3216,-121.94,4.0,9.993406055871844,10.526315789473683,2014,1.0,0,1,B,0,0,4,0.7000381385576455,0.8849150832384493,1.3032372040910134,1.1682356884109237,4.034592335962143,3.721816313819426,-0.27064809422915137,4.117273749900634,3.6595308394390615,1.43773023881256,1.3923187041607568,1.170211635251248,4.20095669456385,33.66998807463385,21.42141883896931,1
3,12.0,3.0,3.5,2260.0,15707.597075710615,1880.0,2003.0,47.6422,-122.361,3.0,8.38647119980331,10.526315789473683,2014,2.0,0,0,B,1,0,3,0.7494464878582117,0.5775551809584001,1.3702831869493057,1.0871706721689194,4.034592335962143,2.099814577050363,-0.908972678020057,1.8559007051790921,3.522729686562835,12.382067616133051,0.025378921231817432,1.0890094733027216,2.291374337952373,44.23274066947527,7.388202190812951,1
4,10.0,3.0,2.0,2050.0,11165.954457871794,1170.0,1960.0,47.7447,-122.328,3.0,8.718565974554565,10.526315789473683,2014,1.0,0,0,A,1,0,3,0.9802849441498888,0.16628399950714234,1.3032372040910134,1.0871706721689194,2.305524191978368,1.8665129573781,-1.2675108495485177,0.983305671618062,2.052117293143399,18.151642845319103,0.2316971772092421,1.0890094733027216,2.6860153031370952,129.50145932397302,1.7780057777725953,0
5,6.0,2.0,1.0,930.0,7811.164016716588,930.0,1986.0,47.4866,-122.303,2.0,8.50565169642681,10.526315789473683,2014,1.0,0,0,B,0,0,2,0.620755752862387,0.10348514015908572,1.125144636391203,0.9823783876237229,1.1528120959891839,0.6222376524593667,-1.6510319472064974,0.6883439701326435,2.9413247868388717,5.726175259184839,0.36380532532656357,0.9840398875625141,2.4330010957172954,20.81566994512816,1.4304592042566244,0
6,7.0,3.0,2.5,2000.0,16005.160143512754,2000.0,1993.0,47.3508,-122.057,3.0,9.238358729658245,10.526315789473683,2014,2.0,0,0,CD,0,0,3,0.47239587914396974,0.4783313934409391,1.1776128516592166,1.0871706721689194,2.88188023997296,1.810964952694228,-0.8894239847813484,2.0033815559218016,3.1807268043722683,1.9890477790511043,1.1602926952112855,1.0890094733027216,3.303704981403757,6.979053322091541,5.239540824593221,0
7,6.0,3.0,2.5,3350.0,21548.210299530045,2550.0,2005.0,47.7277,-122.207,3.0,9.139753154717198,10.526315789473683,2014,2.0,0,0,B,1,0,3,0.7120009902012989,0.22527970499109706,1.125144636391203,1.0871706721689194,2.88188023997296,3.310761079158773,-0.5814837056286493,2.6793354551592192,3.5911302630009483,17.118639380304156,0.7526087240651429,1.0890094733027216,3.1865281926497744,36.031717541325925,2.1810740913432314,1
8,6.0,3.0,2.0,2000.0,11849.604982464514,1300.0,1968.0,47.4346,-122.171,3.0,9.160855742143497,10.526315789473683,2014,1.0,0,0,CD,1,0,3,0.9819505399427441,0.26121159329012256,1.125144636391203,1.0871706721689194,2.305524191978368,1.810964952694228,-1.204617156585706,1.1430765932559972,2.3257195988958523,4.067026069829705,0.8666511524121743,1.0890094733027216,3.2116052071136343,130.38398425740138,2.4701121657209324,0
9,7.0,4.0,4.5,5010.0,33005.16739428862,4000.0,2014.0,47.5455,-122.211,4.0,9.668285577172584,10.526315789473683,2014,2.0,0,1,B,1,0,4,0.4216064411174669,0.26609356090381286,1.1776128516592166,1.1682356884109237,5.187304431951327,5.154954834663323,-0.14464003540832412,4.461395734966956,3.898932856972458,7.947465571436569,0.7390956458994017,1.170211635251248,3.8146035530207523,4.427238097626095,2.5122322819290934,1
