,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_log,Densidad_raiz4,pH_sqrt,Sulfatos_sqr,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,aleatorio_ident,aleatorio2_log,Beneficio
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,17.3,2,1.0,M,***,1.0,7.6923076923076925,0.3059942763659862,0.544733869891511,8.309692455502395,5.573396220385179,13.807848791363032,0.45727019793190854,1.4529331297487582,1.8273508603228998,10.60980858613818,2.2056256184795324,1.3645593560288818,1e-08,1.0568394186059578,0.6446486138141394,515
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,3.0,0.0,0.3644440542873353,0.9137565673162424,37.42227238131819,5.132738376365246,11.404139904830638,1.1135729413335542,1.334062311994449,1.7170160433562318,9.120356630354502,2.487248242880859,1.6712221139600012,2.6034682531325197,1.2588732703408951,1.1621352292686322,585
2,-1.22,0.34,1.4,0.04,1.03236,3.2,0.48,11.6,2,6.23,B,***,2.0,7.6923076923076925,0.1934606544166454,0.6179118697646179,1.1722134088067866,21.566660754236345,8.851412370847735,1.116692966369616,1.4669761189077763,1.751705575567722,9.120356630354502,1.8060922700163453,1.3645593560288818,12.571074920209474,0.6678627295464719,0.7707615469218975,775
3,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,2.0,0.0,0.7613215788063367,0.8734630312681672,9.157458189220398,49.72799231354871,10.696407323016585,1.066657598932873,1.338270760639726,2.3812964046737677,7.74350570208681,2.0537853889576327,0.9649150833430776,0.9531439503683569,2.6306953336085424,1.1170218725055794,596
4,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,2.0,0.0,0.3138643245624618,0.5993669108802993,5.697821499386788,22.873544668585676,8.922936235746462,0.7174551222049269,1.0636626272817344,1.7038253928346228,10.964024049967795,1.882329651275918,1.6712221139600012,5.035460976092138,1.0840425356582266,0.7402748098058022,1083
5,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,1.0,0.0,0.3099873223700319,0.7200830453894905,8.76700635337258,25.729692801047534,10.530314037351348,0.8969266495060765,1.5442672845384544,1.6681404733821732,4.288559082379647,1.6936042655381989,2.1575230219663686,6.463105435670375,1.0706415320278035,0.9238503244092867,596
6,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,1.0,0.0,0.1457867763486601,0.9664105877206044,9.63722869738497,4.15304938293947,9.139234706877554,1.519721291499816,1.1944532188185222,1.896024490527244,2.479864014542105,1.0472645082370178,1.3645593560288818,0.026503346980088355,0.5030761802087238,1.2181774881313363,499
7,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,3.0,0.0,0.49487458475852353,0.24673434602617694,9.556416316846391,21.566660754236345,8.833576375363545,1.1187675880637176,1.1237293917155065,1.6316753073462094,23.347533138686167,1.8369669401262194,1.6712221139600012,5.438744654118537,1.7097112956005307,-0.14799408533046868,911
8,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,1.0,0.0,0.41828629080423063,0.5672547164509992,11.150034582842142,124.50584353393879,9.121110898654214,0.877331793594565,1.3431715845886592,2.483329806838628,24.08282829489462,1.8446048633630612,1.9297524380738358,1.1043089551315497,1.4449809822327933,0.6851812968345774,773
9,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,1.0,0.0,0.7998195881503896,0.49788433154870815,13.434039141430127,21.31438440173779,4.637129874242234,0.8369511699844269,1.3054638779196126,1.6949745976518253,9.648947305307049,1.790455294655762,0.9649150833430776,8.340533158576967,2.763765148217123,0.5546678190220553,346
10,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,3.0,0.0,0.20351292097712537,0.5632010957921009,8.922166332698326,19.172633809843806,5.699313596270451,0.8546499873839886,1.388582197778361,1.7474070453627852,1.9965080332078147,1.660065407429868,1.3645593560288818,1.9504785338907589,0.7026087662998175,0.6780058473507405,364
11,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,2.0,0.0,0.4911817884629772,0.5225253319473266,9.799874213475514,31.799232196596794,9.358123492661008,1.3823192648940803,1.2825254031047282,1.7474070453627852,18.79918993029439,1.320421483924844,1.6712221139600012,1.0619791857638905,1.6969470065682326,0.6030015824017758,552
12,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,1.05,R,**,2.0,0.0,0.9319350183498601,0.08556394809132106,8.38506080930294,21.566660754236345,11.566758900890386,1.1208379146119112,1.3436587261810873,1.690531823241853,37.79469424847656,1.5996812861202965,1.3645593560288818,0.0011556952356466777,3.2204270926428857,-1.2093097627673726,776
13,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,2.0,0.0,0.5741181309610642,0.37075326628128924,1e-08,19.861503278456823,11.082355665580957,1.1125307659974006,1.329478699110035,1.0901111237080383,6.369907514201444,1.9119736314542648,1.3645593560288818,0.5562197182012638,1.983619588049099,0.25963260340188654,814
14,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,3.0,0.0,0.9443175828544068,0.532324776591421,17.640167128549358,13.003134370846709,8.86926635462812,1.103101987133112,1.312049796070907,1.794124532018468,8.169380679377378,1.8748454211605146,1.6712221139600012,0.14419472116709198,3.2632278917250686,0.6215923483008087,885
15,1.65,-2.27,9.2,-0.002,0.9893,3.04,2.32,9.7,3,3.2,R,*,3.0,7.6923076923076925,0.066245948756399,0.2476541305186284,23.29119209763104,1.0001000050001667,10.298041959197356,1.07210108367532,1.3089887354672234,1.6816110616936173,25.04495834752512,1.6515742775059559,1.6712221139600012,2.224580562247749,0.22814032347590518,-0.14426871750986694,604
16,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,2,3.91,B,**,2.0,0.0,0.40920251882570624,0.674641029658763,9.71838132959468,24.837293088954297,9.450091655992486,1.105204967615577,1.357993426728306,0.625433508520412,19.175155708282386,2.2056256184795324,1.3645593560288818,3.892015360625972,1.4135825833616684,0.8586367897633911,828
17,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,2,2.37,B,**,2.0,0.0,0.6553070926932649,0.4619007854045656,8.159976502914683,4.302267740204514,10.049336972662537,0.5456140150968799,1.4405165419409687,1.7772784450457697,4.378365042423757,1.9627735751120696,1.3645593560288818,0.8627385251519655,2.264252282311667,0.47960375918761505,806
18,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,4,1.64,MM,*,3.0,0.0,0.1553013425457045,0.5379547631717074,24.567161950816573,22.080206604480747,20.26472497718453,1.152391682824082,1.456927857306609,1.8108139058325856,20.228254954712316,1.9483944625014389,1.9297524380738358,0.18832356320435806,0.5359636354692474,0.6321188651318598,199
19,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,2,3.81,R,*,2.0,0.0,0.6566659260774951,0.5990820391624072,9.881707349027474,26.034228598488962,3.1312168479745837,0.6955460935647721,1.357206708675368,2.01896562378078,8.92597379863989,1.5730929815766037,1.3645593560288818,3.6291320794008604,2.2689491409182376,0.739799173919727,531
